學年度,學期,學校,,,系所名稱,學制,對方學校（機構）國別(地區),對方學校(機構)名稱,,本國學生出國進修、交流人數,,
,,設立別,類別,名稱,,,,中文名稱,英文名稱,小計,男,女
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),大陸地區,中國人民大學,Renmin University of China,1,0,1
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),大陸地區,吉林大學,Jilin University,1,1,0
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),俄羅斯聯邦,烏拉爾聯邦大學,URAL FEDERAL UNIVERSITY,7,2,5
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),俄羅斯聯邦,國立喀山大學,Kazan State University,1,1,0
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),俄羅斯聯邦,莫斯科大學,Lomonosov Moscow State University,5,3,2
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),俄羅斯聯邦,莫斯科市立師範大學,MOSCOW CITY PEDAGOGICAL UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),俄羅斯聯邦,莫斯科語言大學,Moscow State Linguistic University,1,1,0
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),俄羅斯聯邦,聖彼得堡財經大學,St.Petersburg State University of Economics and Finance,1,1,0
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),捷克共和國,馬薩里克大學,MASARYK UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),大韓民國(南韓),梨花女子大學,EWHA WOMANS UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),厄瓜多共和國,太平洋大學,UNIVERSIDAD DEL PACIFICO,2,0,2
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),加拿大,魁北克大學蒙特婁分校,UNIVERSITE DU QUEBEC A MONTREAL,1,1,0
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),西班牙王國,哈恩大學,UNIVERSIDAD DE JAEN,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),西班牙王國,馬德里卡洛斯三世大學,UNIVERSIDAD CARLOS III DE MADRID,1,0,1
