學年度,學期,學校,,,系所名稱,學制,對方學校（機構）國別(地區),對方學校(機構)名稱,,本國學生出國進修、交流人數,,
,,設立別,類別,名稱,,,,中文名稱,英文名稱,小計,男,女
101,1,公立,一般大學,國立政治大學,英國語文學系,學士班(日間),DEU,慕尼黑大學,LUDWIG-MAXIMILIANS-UNIVERSITAT MUNCHEN,1,0,1
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),CHN,中國人民大學,RENMIN UNIVERSITY OF CHINA,1,0,1
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),CHN,吉林大學,JILIN UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),RUS,烏拉爾聯邦大學,URAL FEDERAL UNIVERSITY,7,2,5
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),RUS,國立喀山大學,KAZAN STATE UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),RUS,莫斯科大學,LOMONOSOV MOSCOW STATE UNIVERSITY,5,3,2
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),RUS,莫斯科市立師範大學,MOSCOW CITY PEDAGOGICAL UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),RUS,莫斯科語言大學,MOSCOW STATE LINGUISTIC UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),RUS,聖彼得堡財經大學,ST.PETERSBURG STATE UNIVERSITY OF ECONOMICS AND FINANCE,1,1,0
101,1,公立,一般大學,國立政治大學,斯拉夫語文學系,學士班(日間),CZE,馬薩里克大學,MASARYK UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),KOR,梨花女子大學,EWHA WOMANS UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),ECU,太平洋大學,UNIVERSIDAD DEL PACIFICO,2,0,2
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),CAN,魁北克大學蒙特婁分校,UNIVERSITE DU QUEBEC A MONTREAL,1,1,0
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),ESP,哈恩大學,UNIVERSIDAD DE JAEN,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),ESP,馬德里卡洛斯三世大學,UNIVERSIDAD CARLOS III DE MADRID,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),ESP,奧維多大學,UNIVERSITY OF OVIEDO,2,0,2
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),FRA,里昂第二大學,UNIVERSITE LUMIERE LYON 2,2,0,2
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),FRA,里爾政治學院,SCIENCES PO LILLE,1,1,0
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),FRA,柏根蒂大學,UNIVERSITY OF BOURGOGNE,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),FRA,特魯瓦高等商學院,GROUPE ECOLE SUPERIEURE DE COMMERCE DE TROYES,1,1,0
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),FRA,索邦巴黎第一大學,PARIS 1 PANTHEON-SORBONNE UNIVERSITY,2,0,2
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),FRA,荷榭大學,UNIVERSITY OF LA ROCHELLE,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),FRA,雷恩第二大學,UNIVERSITE RENNES 2 - HAUTE BRETAGNE,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),FRA,魯昂商學院,ROUEN BUSINESS SCHOOL,1,1,0
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),CHL,智利發展大學,UNIVERSIDAD DEL DESARROLLO,2,2,0
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),DEU,波昂大學,"UNIVERSITY OF BONN, THE",2,1,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),DEU,埃兒富特大學,UNIVERSITY OF ERFURT,2,1,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),DEU,海德堡大學,UNIVERSITY OF HEIDELBERG,2,0,2
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),DEU,特里爾大學,"UNIVERSITY OF TRIER, THE",1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),DEU,曼漢姆大學,UNIVERSITY OF MANNHEIM,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),DEU,圖賓根大學,EBERHARD KARLS UNIVERSITAT TUBINGEN,2,0,2
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),DEU,維爾茨堡大學,"UNIVERSITY OF WUERZBURG, THE",1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),DEU,慕尼黑大學,LUDWIG-MAXIMILIANS-UNIVERSITAT MUNCHEN,1,1,0
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),MEX,瓜達拉哈拉自治大學,UNIVERSIDAD AUTONOMA DE GUADALAJARA,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),MEX,蒙特瑞技術研究學院,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),KOR,中央大學,CHUNG-ANG UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),KOR,市立首爾大學,UNIVERSITY OF SEOUL,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),KOR,全北大學,CHONBUK NATIONAL UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),KOR,成均館大學,SUNGKYUNKWAN UNIVERSITY,2,1,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),KOR,西江大學,SOGANG UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),KOR,亞洲大學,AJOU UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),KOR,延世大學,YONSEI UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),KOR,東亞大學,DONG-A UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),KOR,釜山大學,PUSAN NATIONAL UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),KOR,釜山外國語大學,BUSAN UNIVERSITY OF FOREIGN STUDIES,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),KOR,高麗大學,KOREA UNIVERSITY,2,0,2
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),KOR,梨花女子大學,EWHA WOMANS UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),KOR,祥明大學,SANGMYUNG UNIVERSITY,2,0,2
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),KOR,漢陽大學,HANYANG UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),KOR,慶熙大學,KYUNG HEE UNIVERSITY,7,0,7
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),KOR,翰林大學,HALLYM UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),KOR,韓國外國語大學,HANKUK UNIVERSITY OF FOREIGN STUDIES,1,0,1
101,1,公立,一般大學,國立政治大學,英國語文學系,學士班(日間),FRA,PGSM巴黎高等管理學院,POLE ECOLE SUPERIEURE DE GESTION,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),DEU,哥廷根大學,UNIVERSITY OF GOTTINGEN,1,0,1
101,1,公立,一般大學,國立政治大學,日本語文學系,碩士班(日間),JPN,早稻田大學,WASEDA UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,日本語文學系,碩士班(日間),JPN,東京外國語大學,TOKYO UNIVERSITY OF FOREIGN STUDIES,1,0,1
101,1,公立,一般大學,國立政治大學,語言學研究所,碩士班(日間),USA,北愛荷華大學,UNIVERSITY OF NORTHERN IOWA,1,1,0
101,1,公立,一般大學,國立政治大學,台灣史研究所,碩士班(日間),KOR,成均館大學,SUNGKYUNKWAN UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,台灣史研究所,碩士班(日間),JPN,廣島大學,HIROSHIMA UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,歷史學系,博士班,JPN,東京大學,UNIVERSITY OF TOKYO,1,1,0
101,1,公立,一般大學,國立政治大學,哲學系,學士班(日間),DEU,布萊梅大學,UNIVERSITY OF BREMEN,1,0,1
101,1,公立,一般大學,國立政治大學,哲學系,博士班,DEU,柏林自由大學,FREIE UNIVERSITAT BERLIN,1,1,0
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),CHN,中國人民大學,RENMIN UNIVERSITY OF CHINA,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),KOR,韓國外國語大學,HANKUK UNIVERSITY OF FOREIGN STUDIES,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),FRA,魯昂商學院,ROUEN BUSINESS SCHOOL,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),FIN,漢肯經濟學院,HANKEN SCHOOL OF ECONOMICS,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),USA,史丹福大學,STANFORD UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),HKG,香港大學,"HONG KONG UNIVERSITY, THE",1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),HKG,香港城市大學,CITY UNIVERSITY OF HONG KONG,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),HKG,香港浸會大學,HONG KONG BAPTIST UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),SWE,哈爾姆斯塔德大學,HALMSTAD UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),PRT,天主教大學,UNIVERSIDADE CATOLICA PORTUGUESA,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,學士班(日間),CAN,蒙特婁商學院,HEC MONTREAL,1,0,1
101,1,公立,一般大學,國立政治大學,經濟學系,碩士班(日間),CHN,上海交通大學,SHANGHAI JIAO TONG UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,政治學系,學士班(日間),LTU,維爾紐斯大學,VILNIUS UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,政治學系,學士班(日間),USA,史丹福大學,STANFORD UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,政治學系,學士班(日間),ITA,卡洛‧卡坦尼奧自由大學,UNIVERSITY CARLO CATTANEO,1,0,1
101,1,公立,一般大學,國立政治大學,社會學系,學士班(日間),MAR,拉巴特政府與經濟學院,THE ECOLE DE GOUVERNANCE ET DECONOMIE DE RABAT,1,1,0
